PCA 1,PCA 2,Cluster
-4.157668703145749,-1.2821380870455235,0
-4.03713552928118,-1.1854503901763738,0
-3.916151316370493,-1.0893114534720518,0
-3.7850567844773884,-1.0233010283087238,0
-3.6757338298713016,-0.9914409131113613,0
-3.497953632590593,-0.9589238156966389,0
-3.3270235934987586,-0.9257478297810422,0
-3.350507656999744,-0.7546154328989614,0
-3.3260481421444346,-0.5562321949547276,0
-3.1557385702655316,-0.6561422126569373,0
-1.8791289766932815,-0.8207427430290869,0
-0.6070780571416491,-1.077674635595876,0
0.6944552081315245,-1.2915086192582335,2
1.0595732856602418,-1.7119628579002208,2
1.4008861442365637,-1.998409651291653,2
1.7089757279169566,-2.209792202014237,2
1.5696963731596987,-1.918277587270337,2
1.4500948785535437,-1.672350175068834,2
1.3442829871652127,-1.4443400662001313,2
0.1337998165609807,-1.3866348035390461,2
-1.1213337833474464,-1.082057490292789,0
-2.2580857611394145,-1.1736605692741686,0
-2.684418967208257,-1.234551237592016,0
-3.00069848372238,-1.087843694460898,0
-3.4173497848199297,-1.0003622770407745,0
-3.816399932152352,-1.261952580811361,0
-4.134417093893461,-1.4050630328309663,0
-4.5180026779399345,-1.5430654117981668,0
-4.720174480278293,-1.4427725824924749,0
-4.83424977059187,-1.179513213054225,0
-4.947738434731856,-0.8168935769122488,0
-4.684256930106866,-0.4386143099986982,0
-4.527408176263434,-0.5106839017031464,0
-4.179006894032279,-0.24920275954008755,0
-2.7289974871979465,-0.05120732909133489,0
-1.3014657329921089,0.05648046287997571,0
0.13365853343272863,-0.08321986123681582,1
0.4277355610956503,-0.027617177465206078,1
0.4272030445321102,0.007490447316779176,1
0.6737590163145729,-0.18963593482905636,1
0.10446247824180774,-0.18789254691500504,1
-0.2742827069161737,-0.15924808525015438,1
-0.6555088574628739,-0.14086791305723956,0
-0.957821293082799,-0.043887074466378344,0
-1.355901100465171,0.18891077593157957,0
-1.6424779597154515,0.2658302715324968,0
-1.6169785157144452,0.1905500628323183,0
-1.5575714904614257,0.17646935363601263,0
-1.5407680420455978,0.1312293267130039,0
-1.7388931146191258,0.008994571185738494,0
-2.015444773060048,-0.05518705570136136,0
-2.145785981041118,-0.1735023165261926,0
-2.1753819688839062,-0.24499732279450329,0
-2.86027375702455,-0.14451133413585524,0
-2.861889308216983,-0.22556268933394752,0
